"Date & Time","Event Reference","Subject","Reference","Type"
"01/07/2024 11:33","SEC001446","-","10747","-"
"01/07/2024 11:31","SEC001445","-","10735","-"
"01/07/2024 11:30","SEC001444","-","10723","-"
"01/07/2024 11:28","SEC001443","-","10711","-"
"01/07/2024 11:26","SEC001442","-","10699","-"
"01/07/2024 11:25","SEC001441","-","10687","-"
"01/07/2024 11:23","SEC001440","-","10675","-"
"01/07/2024 11:22","SEC001439","-","10663","-"
"01/07/2024 11:21","AA001438","-","10651","-"
"01/07/2024 11:20","AA001437","-","10639","-"
"28/06/2024 19:41","SEC001436","-","10627","-"
"28/06/2024 18:23","SEC001435","-","10615","-"
"28/06/2024 10:58","SEC001434","-","10603","-"
"26/06/2024 22:09","SEC001433","-","10591","-"
"26/06/2024 22:06","SEC001432","NEW INCIDENT: SEC001432 - Security & Crime - Violence - Verbal Abuse","10579","Email"
"26/06/2024 21:56","SEC001431","-","10567","-"
"26/06/2024 21:50","SEC001430","-","10555","-"
"26/06/2024 21:48","SEC001429","-","10543","-"
"26/06/2024 21:46","SEC001428","-","10531","-"
"26/06/2024 21:44","SEC001427","-","10519","-"
"26/06/2024 21:42","SEC001426","-","10507","-"
"26/06/2024 21:41","SEC001425","-","10495","-"
"26/06/2024 21:39","SEC001424","-","10483","-"
"26/06/2024 21:37","SEC001423","-","10471","-"
"26/06/2024 21:36","AA001422","-","10459","-"
"26/06/2024 21:35","AA001421","-","10447","-"
"26/06/2024 21:11","SEC001420","-","10435","-"
"26/06/2024 20:53","SEC001419","-","10423","-"
"26/06/2024 20:42","SEC001418","-","10411","-"
"26/06/2024 20:40","SEC001417","-","10399","-"
"26/06/2024 20:38","SEC001416","-","10387","-"
"26/06/2024 20:36","SEC001415","-","10375","-"
"26/06/2024 20:34","SEC001414","-","10363","-"
"26/06/2024 20:32","SEC001413","-","10351","-"
"26/06/2024 20:30","SEC001412","-","10339","-"
"26/06/2024 20:29","SEC001411","-","10327","-"
"26/06/2024 20:27","AA001410","-","10315","-"
"26/06/2024 20:26","AA001409","-","10303","-"
"26/06/2024 18:58","SEC001408","-","10291","-"
"26/06/2024 18:56","SEC001407","-","10279","-"
"26/06/2024 18:54","AA001406","-","10267","-"
"26/06/2024 18:53","AA001405","-","10255","-"
"26/06/2024 17:03","SEC001404","-","10243","-"
"26/06/2024 16:59","SEC001403","-","10231","-"
"26/06/2024 16:57","SEC001402","-","10219","-"
"26/06/2024 16:55","SEC001401","-","10207","-"
"26/06/2024 16:53","SEC001400","-","10195","-"
"26/06/2024 16:51","SEC001399","-","10183","-"
"26/06/2024 16:49","SEC001398","-","10171","-"
"26/06/2024 16:47","SEC001397","-","10159","-"
"26/06/2024 16:45","SEC001396","-","10147","-"
"26/06/2024 16:43","SEC001395","-","10135","-"
"26/06/2024 16:42","AA001394","-","10123","-"
"26/06/2024 16:40","AA001393","-","10111","-"
"26/06/2024 16:28","SEC001392","-","10099","-"
"26/06/2024 16:23","SEC001391","-","10087","-"
"26/06/2024 16:22","SEC001390","-","10075","-"
"26/06/2024 16:20","SEC001389","-","10063","-"
"26/06/2024 16:18","SEC001388","-","10051","-"
"26/06/2024 16:16","SEC001387","-","10039","-"
"26/06/2024 16:14","SEC001386","-","10027","-"
"26/06/2024 16:12","SEC001385","-","10015","-"
"26/06/2024 16:10","SEC001384","-","10003","-"
"26/06/2024 16:08","SEC001383","-","9991","-"
"26/06/2024 16:07","AA001382","-","9979","-"
"26/06/2024 16:05","AA001381","-","9967","-"
"26/06/2024 15:25","SEC001380","-","9955","-"
"18/07/2024 12:29","-","-","9943","-"
"18/07/2024 12:29","-","-","9931","-"
"18/07/2024 12:29","-","-","9919","-"
"18/07/2024 12:29","-","-","9907","-"
"18/07/2024 12:29","-","-","9895","-"
"18/07/2024 12:29","-","-","9883","-"
"18/07/2024 12:29","-","-","9871","-"
"18/07/2024 12:29","-","-","9859","-"
"18/07/2024 12:29","-","-","9847","-"
"18/07/2024 12:29","-","-","9835","-"
"18/07/2024 12:29","-","-","9823","-"
"18/07/2024 12:29","-","-","9811","-"
"18/07/2024 12:29","-","-","9799","-"
"18/07/2024 12:29","-","-","9787","-"
"18/07/2024 12:29","-","-","9775","-"
"26/06/2024 14:40","SEC001364","-","9763","-"
"26/06/2024 14:38","SEC001363","-","9751","-"
"26/06/2024 14:37","SEC001362","-","9739","-"
"26/06/2024 14:35","AA001361","-","9727","-"
"26/06/2024 14:34","AA001360","-","9715","-"
"26/06/2024 13:32","SEC001359","-","9703","-"
"26/06/2024 13:28","SEC001358","-","9691","-"
"26/06/2024 13:27","SEC001357","-","9679","-"
"26/06/2024 13:25","SEC001356","-","9667","-"
"26/06/2024 13:23","SEC001355","-","9655","-"
"26/06/2024 13:21","SEC001354","-","9643","-"
"26/06/2024 13:20","SEC001353","-","9631","-"
"26/06/2024 13:18","SEC001352","-","9619","-"
"26/06/2024 13:16","SEC001351","-","9607","-"
"26/06/2024 13:14","SEC001350","-","9595","-"
"26/06/2024 13:13","AA001349","-","9583","-"
"26/06/2024 13:11","AA001348","-","9571","-"
"26/06/2024 13:00","SEC001347","-","9559","-"
"26/06/2024 12:56","SEC001346","-","9547","-"
"26/06/2024 12:55","SEC001345","-","9535","-"
"26/06/2024 12:53","SEC001344","-","9523","-"
"26/06/2024 12:51","SEC001343","-","9511","-"
"26/06/2024 12:49","SEC001342","-","9499","-"
"26/06/2024 12:47","SEC001341","-","9487","-"
"26/06/2024 12:45","SEC001340","-","9475","-"
"26/06/2024 12:43","SEC001339","-","9463","-"
"26/06/2024 12:42","SEC001338","-","9451","-"
"26/06/2024 12:40","AA001337","-","9439","-"
"26/06/2024 12:39","AA001336","-","9427","-"
"25/06/2024 16:13","SEC001335","-","9415","-"
"25/06/2024 12:39","SEC001334","-","9403","-"
"25/06/2024 12:36","SEC001333","-","9391","-"
"25/06/2024 12:36","AA001332","-","9379","-"
"25/06/2024 12:01","SEC001329","-","9367","-"
"25/06/2024 11:57","SEC001328","-","9355","-"
"25/06/2024 11:56","SEC001327","-","9343","-"
"25/06/2024 11:39","SEC001326","-","9331","-"
"25/06/2024 11:31","SEC001325","-","9319","-"
"25/06/2024 11:29","SEC001324","-","9307","-"
"25/06/2024 11:27","SEC001323","-","9295","-"
"25/06/2024 11:24","SEC001322","-","9283","-"
"25/06/2024 11:23","SEC001321","-","9271","-"
"25/06/2024 11:21","SEC001320","-","9259","-"
"25/06/2024 11:19","SEC001319","-","9247","-"
"25/06/2024 11:17","AA001318","-","9235","-"
"25/06/2024 11:16","AA001317","-","9223","-"
"24/06/2024 11:26","SEC001312","-","9211","-"
"24/06/2024 11:09","SEC001311","-","9199","-"
"21/06/2024 16:29","SEC001309","-","9187","-"
"21/06/2024 13:06","SEC001305","-","9175","-"
"21/06/2024 13:01","SEC001304","-","9163","-"
"21/06/2024 13:00","SEC001303","-","9151","-"
"21/06/2024 12:58","SEC001302","-","9139","-"
"21/06/2024 12:43","SEC001301","-","9127","-"
"21/06/2024 12:33","SEC001300","-","9115","-"
"21/06/2024 12:31","SEC001299","-","9103","-"
"21/06/2024 12:28","SEC001298","-","9091","-"
"21/06/2024 12:26","SEC001297","-","9079","-"
"21/06/2024 12:24","SEC001296","-","9067","-"
"21/06/2024 12:22","SEC001295","-","9055","-"
"21/06/2024 12:20","SEC001294","-","9043","-"
"21/06/2024 12:18","AA001293","-","9031","-"
"21/06/2024 12:17","AA001292","-","9019","-"
"21/06/2024 12:07","SEC001291","-","9007","-"
"21/06/2024 10:31","SEC001290","-","8995","-"
"21/06/2024 10:29","SEC001289","-","8983","-"
"21/06/2024 10:27","SEC001288","-","8971","-"
"21/06/2024 10:24","SEC001287","-","8959","-"
"21/06/2024 10:22","SEC001286","-","8947","-"
"21/06/2024 10:20","SEC001285","-","8935","-"
"21/06/2024 10:18","SEC001284","-","8923","-"
"21/06/2024 10:17","SEC001283","-","8911","-"
"21/06/2024 10:15","AA001282","-","8899","-"
"21/06/2024 10:14","AA001281","-","8887","-"
"19/06/2024 18:48","WF001280","-","8875","-"
"13/06/2024 11:26","SEC001277","-","8863","-"
"13/06/2024 11:22","SEC001276","-","8851","-"
"13/06/2024 11:09","SEC001275","-","8839","-"
"13/06/2024 11:01","SEC001274","-","8827","-"
"13/06/2024 10:59","SEC001273","-","8815","-"
"13/06/2024 10:57","SEC001272","-","8803","-"
"13/06/2024 10:55","SEC001271","-","8791","-"
"18/07/2024 12:29","-","-","8779","-"
"18/07/2024 12:29","-","-","8767","-"
"18/07/2024 12:29","-","-","8755","-"
"18/07/2024 12:29","-","-","8743","-"
"18/07/2024 12:29","-","-","8731","-"
"18/07/2024 12:29","-","-","8719","-"
"18/07/2024 12:29","-","-","8707","-"
"18/07/2024 12:29","-","-","8695","-"
"18/07/2024 12:29","-","-","8683","-"
"18/07/2024 12:29","-","-","8671","-"
"18/07/2024 12:29","-","-","8659","-"
"18/07/2024 12:29","-","-","8647","-"
"18/07/2024 12:29","-","-","8635","-"
"18/07/2024 12:29","-","-","8623","-"
"18/07/2024 12:29","-","-","8611","-"
"18/07/2024 12:29","-","-","8599","-"
"18/07/2024 12:29","-","-","8587","-"
"18/07/2024 12:29","-","-","8575","-"
"11/06/2024 16:02","SEC001213","-","8563","-"
"11/06/2024 16:00","SEC001212","-","8551","-"
"11/06/2024 15:58","SEC001211","-","8539","-"
"11/06/2024 15:56","SEC001210","-","8527","-"
"11/06/2024 15:54","SEC001209","-","8515","-"
"11/06/2024 15:52","SEC001208","-","8503","-"
"11/06/2024 15:51","SEC001207","-","8491","-"
"11/06/2024 15:49","SEC001206","-","8479","-"
"11/06/2024 15:47","AA001205","-","8467","-"
"11/06/2024 15:47","AA001204","-","8455","-"
"11/06/2024 15:41","SEC001203","-","8443","-"
"07/06/2024 17:59","SEC001190","-","8431","-"
"07/06/2024 17:53","AA001189","-","8419","-"
"07/06/2024 15:58","SEC001177","-","8407","-"
"07/06/2024 13:57","SEC001165","-","8395","-"
"07/06/2024 13:46","SEC001164","-","8383","-"
"07/06/2024 13:44","SEC001163","-","8371","-"
"07/06/2024 13:42","SEC001162","-","8359","-"
"07/06/2024 13:41","SEC001161","-","8347","-"
"07/06/2024 13:38","SEC001160","-","8335","-"
"07/06/2024 13:37","SEC001159","-","8323","-"
"07/06/2024 13:35","SEC001158","-","8311","-"
"07/06/2024 13:33","SEC001157","-","8299","-"
"07/06/2024 13:32","SEC001156","-","8287","-"
"07/06/2024 13:30","AA001155","-","8275","-"
"07/06/2024 13:29","AA001154","-","8263","-"
"04/06/2024 17:23","SEC001153","-","8251","-"
"04/06/2024 17:11","SEC001152","-","8239","-"
"04/06/2024 17:00","SEC001151","-","8227","-"
"04/06/2024 16:58","SEC001150","-","8215","-"
"04/06/2024 16:56","SEC001149","-","8203","-"
"04/06/2024 16:54","SEC001148","-","8191","-"
"04/06/2024 16:52","SEC001147","-","8179","-"
"04/06/2024 16:50","SEC001146","-","8167","-"
"04/06/2024 16:48","SEC001145","-","8155","-"
"04/06/2024 16:46","SEC001144","-","8143","-"
"04/06/2024 16:45","SEC001143","-","8131","-"
"04/06/2024 16:43","AA001142","-","8119","-"
"04/06/2024 16:42","AA001141","-","8107","-"
"04/06/2024 16:00","SEC001140","-","8095","-"
"04/06/2024 15:57","SEC001139","-","8083","-"
"04/06/2024 15:44","SEC001138","-","8071","-"
"04/06/2024 15:33","SEC001137","-","8059","-"
"04/06/2024 15:31","SEC001136","-","8047","-"
"04/06/2024 15:29","SEC001135","-","8035","-"
"04/06/2024 15:27","SEC001134","-","8023","-"
"04/06/2024 15:25","SEC001133","-","8011","-"
"04/06/2024 15:23","SEC001132","-","7999","-"
"04/06/2024 15:22","SEC001131","-","7987","-"
"04/06/2024 15:20","SEC001130","-","7975","-"
"04/06/2024 15:19","SEC001129","-","7963","-"
"04/06/2024 15:17","AA001128","-","7951","-"
"04/06/2024 15:16","AA001127","-","7939","-"
"04/06/2024 14:34","SEC001126","-","7927","-"
"04/06/2024 14:23","SEC001125","-","7915","-"
"04/06/2024 14:21","SEC001124","-","7903","-"
"04/06/2024 14:19","SEC001123","-","7891","-"
"04/06/2024 14:16","SEC001122","-","7879","-"
"04/06/2024 14:15","SEC001121","-","7867","-"
"04/06/2024 14:13","SEC001120","-","7855","-"
"04/06/2024 14:11","SEC001119","-","7843","-"
"04/06/2024 14:10","SEC001118","-","7831","-"
"04/06/2024 14:08","AA001117","-","7819","-"
"04/06/2024 14:07","AA001116","-","7807","-"
"04/06/2024 11:53","SEC001115","-","7795","-"
"04/06/2024 11:42","SEC001114","-","7783","-"
"04/06/2024 11:39","SEC001113","-","7771","-"
"04/06/2024 11:37","SEC001112","-","7759","-"
"04/06/2024 11:35","SEC001111","-","7747","-"
"04/06/2024 11:32","SEC001110","-","7735","-"
"04/06/2024 11:31","SEC001109","-","7723","-"
"04/06/2024 11:29","SEC001108","-","7711","-"
"04/06/2024 11:27","SEC001107","-","7699","-"
"04/06/2024 11:26","SEC001106","-","7687","-"
"04/06/2024 11:24","AA001105","-","7675","-"
"04/06/2024 11:23","AA001104","-","7663","-"
"30/05/2024 15:59","SEC001103","-","7651","-"
"30/05/2024 10:25","SEC001101","-","7639","-"
"30/05/2024 10:14","SEC001100","-","7627","-"
"30/05/2024 10:12","SEC001099","-","7615","-"
"30/05/2024 10:10","SEC001098","-","7603","-"
"30/05/2024 10:08","SEC001097","-","7591","-"
"18/07/2024 12:29","-","-","7579","-"
"18/07/2024 12:29","-","-","7567","-"
"18/07/2024 12:29","-","-","7555","-"
"18/07/2024 12:29","-","-","7543","-"
"18/07/2024 12:29","-","-","7531","-"
"18/07/2024 12:29","-","-","7519","-"
"18/07/2024 12:29","-","-","7507","-"
"18/07/2024 12:29","-","-","7495","-"
"18/07/2024 12:29","-","-","7483","-"
"18/07/2024 12:29","-","-","7471","-"
"18/07/2024 12:29","-","-","7459","-"
"18/07/2024 12:29","-","-","7447","-"
"18/07/2024 12:29","-","-","7435","-"
"18/07/2024 12:29","-","-","7423","-"
"18/07/2024 12:29","-","-","7411","-"
"18/07/2024 12:29","-","-","7399","-"
"18/07/2024 12:29","-","-","7387","-"
"18/07/2024 12:29","-","-","7375","-"
"29/05/2024 10:55","AA001076","-","7363","-"
"29/05/2024 10:54","AA001075","-","7351","-"
"28/05/2024 17:46","SEC001072","-","7339","-"
"28/05/2024 17:11","SEC001071","-","7327","-"
"28/05/2024 17:06","SEC001070","-","7315","-"
"28/05/2024 16:51","SEC001069","-","7303","-"
"28/05/2024 16:50","SEC001068","-","7291","-"
"28/05/2024 16:47","SEC001067","-","7279","-"
"28/05/2024 16:46","SEC001066","-","7267","-"
"28/05/2024 16:43","SEC001065","-","7255","-"
"28/05/2024 16:32","SEC001064","-","7243","-"
"28/05/2024 16:28","AA001063","-","7231","-"
"28/05/2024 16:27","SEC001062","-","7219","-"
"28/05/2024 16:21","SEC001061","-","7207","-"
"28/05/2024 16:19","SEC001060","-","7195","-"
"28/05/2024 16:14","SEC001059","-","7183","-"
"28/05/2024 16:12","SEC001058","-","7171","-"
"28/05/2024 16:10","SEC001057","-","7159","-"
"28/05/2024 16:09","SEC001056","-","7147","-"
"28/05/2024 16:07","SEC001055","-","7135","-"
"28/05/2024 16:06","SEC001054","-","7123","-"
"28/05/2024 16:04","AA001053","-","7111","-"
"28/05/2024 16:03","AA001052","-","7099","-"
"28/05/2024 14:58","SEC001048","-","7087","-"
"27/05/2024 16:24","SEC001045","-","7075","-"
"27/05/2024 16:13","SEC001044","-","7063","-"
"27/05/2024 16:11","SEC001043","-","7051","-"
"27/05/2024 16:09","SEC001042","-","7039","-"
"27/05/2024 16:07","SEC001041","-","7027","-"
"27/05/2024 16:05","SEC001040","-","7015","-"
"27/05/2024 16:03","SEC001039","-","7003","-"
"27/05/2024 16:01","SEC001038","-","6991","-"
"27/05/2024 16:00","SEC001037","-","6979","-"
"27/05/2024 15:59","SEC001036","-","6967","-"
"27/05/2024 15:57","AA001035","-","6955","-"
"27/05/2024 15:56","AA001034","-","6943","-"
"27/05/2024 13:07","SEC001024","-","6931","-"
"27/05/2024 11:17","SEC001021","-","6919","-"
"27/05/2024 11:06","SEC001020","-","6907","-"
"27/05/2024 11:04","SEC001019","-","6895","-"
"27/05/2024 11:02","SEC001018","-","6883","-"
"27/05/2024 11:00","SEC001017","-","6871","-"
"27/05/2024 10:58","SEC001016","-","6859","-"
"27/05/2024 10:56","SEC001015","-","6847","-"
"27/05/2024 10:55","SEC001014","-","6835","-"
"27/05/2024 10:53","SEC001013","-","6823","-"
"27/05/2024 10:52","SEC001012","-","6811","-"
"27/05/2024 10:50","AA001011","-","6799","-"
"27/05/2024 10:49","AA001010","-","6787","-"
"27/05/2024 10:20","SEC001009","-","6775","-"
"24/05/2024 11:54","SEC001008","-","6763","-"
"24/05/2024 11:45","SEC001007","-","6751","-"
"24/05/2024 11:43","SEC001006","-","6739","-"
"24/05/2024 11:41","SEC001005","-","6727","-"
"24/05/2024 11:39","SEC001004","-","6715","-"
"24/05/2024 11:37","SEC001003","-","6703","-"
"24/05/2024 11:36","SEC001002","-","6691","-"
"24/05/2024 11:34","SEC001001","-","6679","-"
"24/05/2024 11:33","SEC001000","-","6667","-"
"24/05/2024 11:32","SEC000999","-","6655","-"
"24/05/2024 11:30","AA000998","-","6643","-"
"24/05/2024 11:30","AA000997","-","6631","-"
"24/05/2024 10:51","SEC000996","-","6619","-"
"24/05/2024 10:40","SEC000995","-","6607","-"
"24/05/2024 10:29","SEC000994","-","6595","-"
"24/05/2024 10:19","SEC000993","-","6583","-"
"24/05/2024 10:17","SEC000992","-","6571","-"
"24/05/2024 10:15","SEC000991","-","6559","-"
"24/05/2024 10:14","SEC000990","-","6547","-"
"24/05/2024 10:12","SEC000989","-","6535","-"
"24/05/2024 10:10","SEC000988","-","6523","-"
"24/05/2024 10:09","SEC000987","-","6511","-"
"24/05/2024 10:07","SEC000986","-","6499","-"
"24/05/2024 10:06","SEC000985","-","6487","-"
"24/05/2024 10:05","AA000984","-","6475","-"
"24/05/2024 10:04","AA000983","-","6463","-"
"23/05/2024 18:07","AA000982","-","6451","-"
"23/05/2024 17:44","SEC000981","-","6439","-"
"23/05/2024 17:32","SEC000980","-","6427","-"
"23/05/2024 17:22","SEC000979","-","6415","-"
"23/05/2024 17:20","SEC000978","-","6403","-"
"23/05/2024 17:18","SEC000977","-","6391","-"
"23/05/2024 17:17","SEC000976","-","6379","-"
"23/05/2024 17:15","SEC000975","-","6367","-"
"23/05/2024 17:13","SEC000974","-","6355","-"
"23/05/2024 17:12","SEC000973","-","6343","-"
"23/05/2024 17:10","SEC000972","-","6331","-"
"23/05/2024 17:09","SEC000971","-","6319","-"
"23/05/2024 17:08","AA000970","-","6307","-"
"23/05/2024 17:07","AA000969","-","6295","-"
"23/05/2024 15:16","SEC000968","-","6283","-"
"23/05/2024 15:06","SEC000967","-","6271","-"
"23/05/2024 15:04","SEC000966","-","6259","-"
"18/07/2024 12:29","-","-","6247","-"
"18/07/2024 12:29","-","-","6235","-"
"18/07/2024 12:29","-","-","6223","-"
"18/07/2024 12:29","-","-","6211","-"
"18/07/2024 12:29","-","-","6199","-"
"18/07/2024 12:29","-","-","6187","-"
"18/07/2024 12:29","-","-","6175","-"
"23/05/2024 14:52","AA000958","-","6163","-"
"23/05/2024 14:51","AA000957","-","6151","-"
"23/05/2024 14:43","SEC000956","-","6139","-"
"23/05/2024 10:01","SEC000955","-","6127","-"
"23/05/2024 09:59","SEC000954","-","6115","-"
"23/05/2024 09:56","SEC000953","-","6103","-"
"23/05/2024 09:54","SEC000952","-","6091","-"
"23/05/2024 09:49","SEC000951","-","6079","-"
"23/05/2024 09:40","SEC000950","-","6067","-"
"23/05/2024 09:37","SEC000949","-","6055","-"
"23/05/2024 09:35","SEC000948","-","6043","-"
"23/05/2024 09:33","SEC000947","-","6031","-"
"23/05/2024 09:30","SEC000946","-","6019","-"
"23/05/2024 09:29","SEC000945","-","6007","-"
"23/05/2024 09:27","SEC000944","-","5995","-"
"23/05/2024 09:26","SEC000943","-","5983","-"
"23/05/2024 09:25","SEC000942","-","5971","-"
"23/05/2024 09:23","AA000941","-","5959","-"
"23/05/2024 09:23","AA000940","-","5947","-"
"22/05/2024 22:25","SEC000939","-","5935","-"
"22/05/2024 22:15","SEC000938","-","5923","-"
"22/05/2024 22:13","SEC000937","-","5911","-"
"22/05/2024 22:10","SEC000936","-","5899","-"
"22/05/2024 22:08","SEC000935","-","5887","-"
"22/05/2024 22:05","SEC000934","-","5875","-"
"22/05/2024 22:03","SEC000933","-","5863","-"
"22/05/2024 22:01","SEC000932","-","5851","-"
"22/05/2024 21:59","SEC000931","-","5839","-"
"22/05/2024 21:58","SEC000930","-","5827","-"
"22/05/2024 21:56","AA000929","-","5815","-"
"22/05/2024 21:56","AA000928","-","5803","-"
"22/05/2024 20:08","SEC000927","-","5791","-"
"22/05/2024 20:06","SEC000926","-","5779","-"
"22/05/2024 20:05","SEC000925","-","5767","-"
"22/05/2024 20:03","SEC000924","-","5755","-"
"22/05/2024 20:02","SEC000923","-","5743","-"
"22/05/2024 20:00","SEC000922","NEW INCIDENT: SEC000922 - Security & Crime - Violence - Verbal Abuse","5731","Email"
"22/05/2024 19:56","SEC000921","-","5719","-"
"22/05/2024 19:55","SEC000920","-","5707","-"
"22/05/2024 19:50","SEC000919","-","5695","-"
"22/05/2024 19:41","SEC000918","-","5683","-"
"22/05/2024 19:38","SEC000917","-","5671","-"
"22/05/2024 19:36","SEC000916","-","5659","-"
"22/05/2024 19:34","SEC000915","-","5647","-"
"22/05/2024 19:31","SEC000914","-","5635","-"
"22/05/2024 19:29","SEC000913","-","5623","-"
